tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,aitoCa8l_7VNu5yDtWOD8xVLSXabnEMp4xCUjea7Is6zf8M,lai zi shen yuan,656,451,396,False,False,True,False
CHALLENGER,dI8UnAdsqwmWLTjogSMG9IrA5FaU4bl2Cu8yDBOB74oOy68,SANDBOX Route,1002,377,331,True,False,False,False
CHALLENGER,mY6LYJcZSRyP-K3p41SuZYfF9Px2iLyLs_rjcaLYzLOOHeM,버기해적단 버기,773,331,295,False,False,False,False
CHALLENGER,xTHqQPCegLnVxJ53FIBwAc4so--P9qLlZdNS-e9gVotSfZQ,lingplus,678,313,296,False,False,True,False
CHALLENGER,ZwtSU0aish1zNtG5DycP_2gN_p-TCiI5HITWzOJEIDhqqw,Swordart777,1047,523,441,True,False,False,False
CHALLENGER,vDmMVvnonIQhNQ4-SQZ6G16orOuZ0sIMJyoX-wYaZa9_300,교육잘받은도구,639,362,316,False,False,False,False
CHALLENGER,-zz06v18Pmx5briVpr2Sts5d_EgS5mu9_Ues6a0-RcnaZN8,Morgan Burdol,845,744,689,True,False,False,False
CHALLENGER,XjUHYx6rgdfa4ks5VLyiQ7ne63yGZfhfQuPG55slky7WOyY,모두모두행복하길,1119,228,107,True,False,False,True
CHALLENGER,mFTwqjC3PElNSrGz1zpRyMgkZKL_LJarpOkz1UauP5tY7A0,Gen G Karis,816,488,480,False,False,False,True
CHALLENGER,h3pzF6sPrrFu91g25QpHAYniS66Mo-1ecabBPK0BlWjsmu8,요붕스1,1275,492,395,True,False,False,False
CHALLENGER,n-jrEBkUwLG0CpNJ9u9Xork0YAu80jeMmhC3vuRZP0XDm8o,quaddd,925,234,184,False,False,False,False
CHALLENGER,zB2a8nzMs1nE92Bte5qOBUR_XPBHNvu0npDbaS0173J_5QA,Pz ZZang,838,206,164,False,False,True,False
CHALLENGER,9jNE_lN1zyjG2Fk7_PG7ddHPOKkyUeM8t5a1GIkj7uFJXw,T1 Roach,907,654,614,True,False,False,False
CHALLENGER,cqOsaV_dNrrGq5asrksbY92F0grD3nXV84N93vsCxzCdRzVd,wsnowman ,872,154,56,False,False,False,False
CHALLENGER,rwrVFI-CmY5tU2Ap98xNZnhofDxSKjc7ND4MA4qs0F4QxQ,굿 팀,766,603,561,True,False,False,False
CHALLENGER,2oeNSQIRElWuBBy0P7VCALPN2pU-pwKS5lKVDqsh1pon5w,허징어링,756,147,136,False,False,False,False
CHALLENGER,g9Wo0lEx9Y4o79M8MGNjxSkap1m2K8Nx-FB4orhcrXWlXIA,whisper snow,759,707,659,True,False,False,False
CHALLENGER,fe93RY1MLYluPmarZSrRxfPLFfbc0PNsjPh4JTVG9cURaXo,hick billy,649,428,388,False,False,True,False
CHALLENGER,QxJwsgsMkFtUqhgmTgwXQw59dpzfLF5SS-j1BRYrmwuMzH4,daye lihai,728,726,686,False,False,False,False
CHALLENGER,EKJpC19EiYYuG5wn12rNTKxqr6P2nmFX0nvzaLm1r-ACyQ,탑나라 룰루공주,1012,373,297,True,False,False,False
CHALLENGER,AWYw0H-nuacL1iTVwP_JiWf6fsVhs3C-d_tv_QtFIMucC5I,boom1boom,836,237,169,False,False,False,False
CHALLENGER,12akWkNEs6a2yuXA1cBbtSboM95Z17g5OKdb21N7E-eiWUg,별 수호자 크림몬,754,435,326,False,False,False,False
CHALLENGER,Cgw3G8xRb3Dp0L2ydr7Zy9_PLruZozERrUZqbwt6y53e7iU,corgii,753,538,451,True,False,False,False
CHALLENGER,y7Bi7ggguLC_jWPW0UwCNYX8DaVvje0Baw0U5stJ1vMHTQ,Iove galio,872,391,319,True,False,False,False
CHALLENGER,8wR_3qF35HVW69hLsjccgIINpYvL1hIrecTuwu7hlqhMqBo,엘 림,900,538,493,True,False,False,False
CHALLENGER,VCHWk7yvBAS8VmeA0ehYcClwnevyhYjyKsnfEKLHchJQSmo,HLE Vsta,972,231,181,True,False,False,False
CHALLENGER,QzJ7UtzHD0PuP2XSdF8K4wSD9ozAJePPY1hyNMfavqLxn0M,롤오브레전드1234,938,210,161,False,False,False,False
CHALLENGER,vZzxELCJgrXsbIdbmbuu_24QWqD6BMugA7545L-h0sN3fGc,d0 myself ,699,904,861,False,False,True,True
