,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,win_rate
1435,MASTER,StK9ctDm1gt5iYSJv-oXklWwI4VowX_dLAI2_8kKMAiWlZY,웨이 민,0,298,288,False,False,True,True,50.853
1436,MASTER,imHT1iezkUAZS7t8d8eiirRspWw7GVaSGU6nasC-4jge8g,섹시우기,220,207,163,True,False,False,False,55.946
1437,MASTER,8F9j0-HF4Ek2xuDMazcaNRnRIBsspMgBrONx01nN8xLE6d8,계인직,65,132,116,False,False,True,False,53.226
1438,MASTER,LPFP2sfkVICcuNUwShwIvz1lkQshdsJ4kMmUhih1FookyD8,wswdd9,14,109,50,False,False,True,False,68.553
1439,MASTER,3JW3FSu4IqvUIXx319iCv9wvr4X4yUfplQh-nJOcpnQ4JA,tinychild,194,364,324,False,False,True,False,52.907
1440,MASTER,Ezjayzb1--i4Hm5Q-Sbcv0c2HTqpDuaGJPk8Lm1CfUdDsgo,난 이룰거야,0,377,332,False,False,True,False,53.173
1441,MASTER,8kd2rsohpZMYiEEXkImrMAc28Q5MBZ8s4ATFCS76YsNPDtg,1v5king,271,331,272,False,False,False,False,54.892
1442,MASTER,Y8tQodI_hrLVvGiQGF1RpU-QCscs0f2QV-qMmGjYiUy5lUI,Gen G Quid,201,1257,1237,False,False,False,False,50.401
1443,MASTER,lUE06U35_h8qMpNp1FfihvsVRdBhh8C61u0ffLlc7_VP3Hg,Lovelucy,156,516,472,False,False,False,False,52.227
1444,MASTER,M1DbCGLItHrqR-Wr54ZBdyViyC_TKLsObJAQ3PQpybZjE7w,shenxian,122,249,162,False,False,False,False,60.584
1445,MASTER,gua1SLYqKH0pmRddkZkpDP2ijaksaSprmy9ZauE82eZaOZ0,unever know best,282,294,280,False,False,False,True,51.22
1446,MASTER,gEJgt0yTV1TmyV2bh_SngpSSqK4TaUcvRwO3oUtkNcSUoYc,똥기저귀맨,81,109,89,False,False,False,False,55.051
1447,MASTER,wTYrDo1D8uSxxsIHXJgGYiR3p4tDQvhplfhwWyBF5Hi2zaU,한국에서가장멋있는사람이바로나야,31,170,102,False,False,False,False,62.5
1448,MASTER,X88p_RPeTe_NfCCKD9VdgM9Lgc5Sc8CsUlxqUih-g6hEUyc,CLG Wind,102,212,176,False,False,True,False,54.639
1449,MASTER,cGpijUo7IphZIjlKgy746TASP0MFhp15u4JxJ_p1VJXcyZM,중국인보면짖는개,146,161,127,False,False,True,False,55.903
1450,MASTER,MZ1iExLlE3JEcSggJAUJxBeoo3J1QdGDPEuQtqjYCT99cGg,xmlxmlxml,57,336,305,False,False,True,False,52.418
1451,MASTER,lrIv0ELQSm4BdtYm946DtBF26bW6oN5AITcCJ8yy2ZDFdt0,Twitch 조우지,11,225,146,False,False,True,False,60.647
